[1,092s][debug  ][gc,nmethod  ] Register NMethod: java.lang.Enum.ordinal (0x00007f376f1b4390) [0x00007f376f1b4520, 0x00007f376f1b45e0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,092s][debug  ][gc,nmethod  ] Register NMethod: java.lang.Object.getClass (0x00007f376f1b4690) [0x00007f376f1b4840, 0x00007f376f1b4bd8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,092s][debug  ][gc,nmethod  ] Register NMethod: java.lang.Class.isPrimitive (0x00007f376f1b4c10) [0x00007f376f1b4da0, 0x00007f376f1b4f70] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,092s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007f376f1b4f90) [0x00007f376f1b5100, 0x00007f376f1b51f8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,093s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007f376f1b5290) [0x00007f376f1b5400, 0x00007f376f1b54f0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,093s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x00007f376f1b5590) [0x00007f376f1b5720, 0x00007f376f1b59b8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,093s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007f376f1b5a10) [0x00007f376f1b5b80, 0x00007f376f1b5c78] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,093s][debug  ][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.putIfAbsent (0x00007f374fa27490) [0x00007f374fa27640, 0x00007f374fa27780] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,093s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodType.returnType (0x00007f376f1b5d10) [0x00007f376f1b5ea0, 0x00007f376f1b5f90] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,094s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007f376f1b6010) [0x00007f376f1b6180, 0x00007f376f1b6278] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,095s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007f376f1b6310) [0x00007f376f1b6480, 0x00007f376f1b6570] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,095s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007f376f1b6610) [0x00007f376f1b6780, 0x00007f376f1b6878] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,095s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodTypeForm.canonicalize (0x00007f374fa27810) [0x00007f374fa27a40, 0x00007f374fa28030] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[1,095s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.<init> (0x00007f374fa28210) [0x00007f374fa283c0, 0x00007f374fa28598] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,095s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToVirtual (0x00007f376f1b6910) [0x00007f376f1b6a80, 0x00007f376f1b6aa8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,095s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodType.checkSlotCount (0x00007f374fa28690) [0x00007f374fa288c0, 0x00007f374fa28ec8] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,095s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.getBytes (0x00007f374fa29190) [0x00007f374fa29360, 0x00007f374fa296b8] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,095s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MemberName.getDeclaringClass (0x00007f376f1b6c10) [0x00007f376f1b6da0, 0x00007f376f1b6e90] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,096s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MemberName.isInvocable (0x00007f374fa29810) [0x00007f374fa299a0, 0x00007f374fa29b68] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,096s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MemberName.anyFlagSet (0x00007f374fa29c10) [0x00007f374fa29da0, 0x00007f374fa29f00] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,096s][debug  ][gc,nmethod  ] Register NMethod: java.lang.ref.ReferenceQueue.headIsNull (0x00007f374fa29f90) [0x00007f374fa2a120, 0x00007f374fa2a2b0] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,096s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodType.form (0x00007f376f1b6f10) [0x00007f376f1b70a0, 0x00007f376f1b7190] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,096s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodType.ptypes (0x00007f376f1b7210) [0x00007f376f1b73a0, 0x00007f376f1b7490] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,096s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToInterface (0x00007f376f1b7510) [0x00007f376f1b7680, 0x00007f376f1b77b8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
